days_to_election,state,countyfips,gender,age,race,party_affiliation,partisanship,voted_previous_pres,ballots_requested,ballots_returned
21,NE,31055,Female,50-64,Other,Democrat,Total,Total,2,3
21,NE,31055,Female,50-64,Other,No Party Affiliation,Total,Total,2,2
21,NE,31055,Female,50-64,Other,Republican,Total,Total,0,1
21,NE,31055,Female,65+,Asian,Democrat,Total,Total,0,1
21,NE,31055,Female,65+,Asian,No Party Affiliation,Total,Total,1,2
21,NE,31055,Female,65+,Asian,Other/Unknown,Total,Total,0,1
21,NE,31055,Female,65+,Asian,Republican,Total,Total,3,4
21,NE,31055,Female,65+,Black,Democrat,Total,Total,36,53
21,NE,31055,Female,65+,Black,No Party Affiliation,Total,Total,3,10
21,NE,31055,Female,65+,Black,Other/Unknown,Total,Total,1,0
21,NE,31055,Female,65+,Black,Republican,Total,Total,6,16
21,NE,31055,Female,65+,Caucasian,Democrat,Total,Total,174,408
21,NE,31055,Female,65+,Caucasian,No Party Affiliation,Total,Total,73,132
21,NE,31055,Female,65+,Caucasian,Other/Unknown,Total,Total,19,10
21,NE,31055,Female,65+,Caucasian,Republican,Total,Total,246,451
21,NE,31055,Female,65+,Hispanic,Democrat,Total,Total,8,8
21,NE,31055,Female,65+,Hispanic,No Party Affiliation,Total,Total,2,2
21,NE,31055,Female,65+,Hispanic,Other/Unknown,Total,Total,1,1
21,NE,31055,Female,65+,Hispanic,Republican,Total,Total,4,3
21,NE,31055,Female,65+,Other,Democrat,Total,Total,2,2
21,NE,31055,Female,65+,Other,No Party Affiliation,Total,Total,0,1
21,NE,31055,Female,65+,Other,Republican,Total,Total,2,2
21,NE,31055,Female,Unknown,Asian,Other/Unknown,Total,Total,1,0
21,NE,31055,Female,Unknown,Caucasian,Other/Unknown,Total,Total,3,0
21,NE,31055,Female,Unknown,Other,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,18-21,Asian,No Party Affiliation,Total,Total,1,1
21,NE,31055,Male,18-21,Asian,Republican,Total,Total,0,1
21,NE,31055,Male,18-21,Black,Democrat,Total,Total,4,2
21,NE,31055,Male,18-21,Black,No Party Affiliation,Total,Total,4,1
21,NE,31055,Male,18-21,Black,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,18-21,Black,Republican,Total,Total,2,0
21,NE,31055,Male,18-21,Caucasian,Democrat,Total,Total,36,22
21,NE,31055,Male,18-21,Caucasian,No Party Affiliation,Total,Total,32,18
21,NE,31055,Male,18-21,Caucasian,Other/Unknown,Total,Total,2,1
21,NE,31055,Male,18-21,Caucasian,Republican,Total,Total,36,29
21,NE,31055,Male,18-21,Hispanic,Democrat,Total,Total,5,4
21,NE,31055,Male,18-21,Hispanic,No Party Affiliation,Total,Total,6,0
21,NE,31055,Male,18-21,Hispanic,Other/Unknown,Total,Total,3,0
21,NE,31055,Male,18-21,Hispanic,Republican,Total,Total,3,2
21,NE,31055,Male,18-21,Other,Democrat,Total,Total,0,1
21,NE,31055,Male,18-21,Other,Republican,Total,Total,1,1
21,NE,31055,Male,22-29,Asian,Democrat,Total,Total,5,2
21,NE,31055,Male,22-29,Asian,No Party Affiliation,Total,Total,1,1
21,NE,31055,Male,22-29,Asian,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,22-29,Asian,Republican,Total,Total,0,1
21,NE,31055,Male,22-29,Black,Democrat,Total,Total,15,14
21,NE,31055,Male,22-29,Black,No Party Affiliation,Total,Total,10,3
21,NE,31055,Male,22-29,Black,Other/Unknown,Total,Total,6,3
21,NE,31055,Male,22-29,Black,Republican,Total,Total,2,2
21,NE,31055,Male,22-29,Caucasian,Democrat,Total,Total,93,79
21,NE,31055,Male,22-29,Caucasian,No Party Affiliation,Total,Total,67,36
21,NE,31055,Male,22-29,Caucasian,Other/Unknown,Total,Total,15,6
21,NE,31055,Male,22-29,Caucasian,Republican,Total,Total,60,40
21,NE,31055,Male,22-29,Hispanic,Democrat,Total,Total,8,4
21,NE,31055,Male,22-29,Hispanic,No Party Affiliation,Total,Total,7,5
21,NE,31055,Male,22-29,Hispanic,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,22-29,Hispanic,Republican,Total,Total,3,1
21,NE,31055,Male,22-29,Other,Democrat,Total,Total,1,2
21,NE,31055,Male,22-29,Other,No Party Affiliation,Total,Total,2,0
21,NE,31055,Male,22-29,Other,Republican,Total,Total,0,1
21,NE,31055,Male,30-39,Asian,Democrat,Total,Total,6,2
21,NE,31055,Male,30-39,Asian,No Party Affiliation,Total,Total,1,3
21,NE,31055,Male,30-39,Asian,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,30-39,Asian,Republican,Total,Total,1,0
21,NE,31055,Male,30-39,Black,Democrat,Total,Total,17,15
21,NE,31055,Male,30-39,Black,No Party Affiliation,Total,Total,13,2
21,NE,31055,Male,30-39,Black,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,30-39,Black,Republican,Total,Total,5,6
21,NE,31055,Male,30-39,Caucasian,Democrat,Total,Total,150,111
21,NE,31055,Male,30-39,Caucasian,No Party Affiliation,Total,Total,131,93
21,NE,31055,Male,30-39,Caucasian,Other/Unknown,Total,Total,14,6
21,NE,31055,Male,30-39,Caucasian,Republican,Total,Total,70,60
21,NE,31055,Male,30-39,Hispanic,Democrat,Total,Total,10,1
21,NE,31055,Male,30-39,Hispanic,No Party Affiliation,Total,Total,6,5
21,NE,31055,Male,30-39,Hispanic,Other/Unknown,Total,Total,5,0
21,NE,31055,Male,30-39,Hispanic,Republican,Total,Total,2,1
21,NE,31055,Male,30-39,Other,Democrat,Total,Total,1,1
21,NE,31055,Male,30-39,Other,No Party Affiliation,Total,Total,1,1
21,NE,31055,Male,30-39,Other,Republican,Total,Total,1,1
21,NE,31055,Male,40-49,Asian,Democrat,Total,Total,8,4
21,NE,31055,Male,40-49,Asian,No Party Affiliation,Total,Total,3,5
21,NE,31055,Male,40-49,Asian,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,40-49,Asian,Republican,Total,Total,1,0
21,NE,31055,Male,40-49,Black,Democrat,Total,Total,22,21
21,NE,31055,Male,40-49,Black,No Party Affiliation,Total,Total,7,8
21,NE,31055,Male,40-49,Black,Other/Unknown,Total,Total,2,1
21,NE,31055,Male,40-49,Black,Republican,Total,Total,4,4
21,NE,31055,Male,40-49,Caucasian,Democrat,Total,Total,95,128
21,NE,31055,Male,40-49,Caucasian,No Party Affiliation,Total,Total,97,80
21,NE,31055,Male,40-49,Caucasian,Other/Unknown,Total,Total,7,9
21,NE,31055,Male,40-49,Caucasian,Republican,Total,Total,100,93
21,NE,31055,Male,40-49,Hispanic,Democrat,Total,Total,8,9
21,NE,31055,Male,40-49,Hispanic,No Party Affiliation,Total,Total,10,1
21,NE,31055,Male,40-49,Hispanic,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,40-49,Hispanic,Republican,Total,Total,0,4
21,NE,31055,Male,40-49,Other,Democrat,Total,Total,2,0
21,NE,31055,Male,40-49,Other,No Party Affiliation,Total,Total,1,0
21,NE,31055,Male,40-49,Other,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,40-49,Other,Republican,Total,Total,4,1
21,NE,31055,Male,50-64,Asian,Democrat,Total,Total,4,5
21,NE,31055,Male,50-64,Asian,No Party Affiliation,Total,Total,8,4
21,NE,31055,Male,50-64,Asian,Republican,Total,Total,3,6
21,NE,31055,Male,50-64,Black,Democrat,Total,Total,35,29
21,NE,31055,Male,50-64,Black,No Party Affiliation,Total,Total,9,7
21,NE,31055,Male,50-64,Black,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,50-64,Black,Republican,Total,Total,9,7
21,NE,31055,Male,50-64,Caucasian,Democrat,Total,Total,143,213
21,NE,31055,Male,50-64,Caucasian,No Party Affiliation,Total,Total,88,111
21,NE,31055,Male,50-64,Caucasian,Other/Unknown,Total,Total,16,11
21,NE,31055,Male,50-64,Caucasian,Republican,Total,Total,223,270
21,NE,31055,Male,50-64,Hispanic,Democrat,Total,Total,15,11
21,NE,31055,Male,50-64,Hispanic,No Party Affiliation,Total,Total,4,1
21,NE,31055,Male,50-64,Hispanic,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,50-64,Hispanic,Republican,Total,Total,8,3
21,NE,31055,Male,50-64,Other,Democrat,Total,Total,0,2
21,NE,31055,Male,50-64,Other,No Party Affiliation,Total,Total,1,0
21,NE,31055,Male,50-64,Other,Republican,Total,Total,1,0
21,NE,31055,Male,65+,Asian,Democrat,Total,Total,3,2
21,NE,31055,Male,65+,Asian,No Party Affiliation,Total,Total,1,0
21,NE,31055,Male,65+,Asian,Other/Unknown,Total,Total,0,1
21,NE,31055,Male,65+,Asian,Republican,Total,Total,1,5
21,NE,31055,Male,65+,Black,Democrat,Total,Total,24,25
21,NE,31055,Male,65+,Black,No Party Affiliation,Total,Total,4,4
21,NE,31055,Male,65+,Black,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,65+,Black,Republican,Total,Total,4,9
21,NE,31055,Male,65+,Caucasian,Democrat,Total,Total,89,262
21,NE,31055,Male,65+,Caucasian,No Party Affiliation,Total,Total,56,104
21,NE,31055,Male,65+,Caucasian,Other/Unknown,Total,Total,12,10
21,NE,31055,Male,65+,Caucasian,Republican,Total,Total,205,344
21,NE,31055,Male,65+,Hispanic,Democrat,Total,Total,5,6
21,NE,31055,Male,65+,Hispanic,No Party Affiliation,Total,Total,2,1
21,NE,31055,Male,65+,Hispanic,Other/Unknown,Total,Total,1,0
21,NE,31055,Male,65+,Hispanic,Republican,Total,Total,6,2
21,NE,31055,Male,65+,Other,Democrat,Total,Total,2,1
21,NE,31055,Male,65+,Other,Republican,Total,Total,0,1
21,NE,31055,Male,Unknown,Caucasian,Other/Unknown,Total,Total,8,0
21,NE,31055,Male,Unknown,Hispanic,Other/Unknown,Total,Total,1,0
21,NE,31055,Unknown,18-21,Asian,Democrat,Total,Total,1,0
21,NE,31055,Unknown,18-21,Black,Democrat,Total,Total,3,1
21,NE,31055,Unknown,18-21,Black,No Party Affiliation,Total,Total,3,1
21,NE,31055,Unknown,18-21,Black,Republican,Total,Total,0,1
21,NE,31055,Unknown,18-21,Caucasian,Democrat,Total,Total,12,7
21,NE,31055,Unknown,18-21,Caucasian,No Party Affiliation,Total,Total,4,6
21,NE,31055,Unknown,18-21,Caucasian,Republican,Total,Total,10,2
21,NE,31055,Unknown,18-21,Hispanic,Democrat,Total,Total,1,1
21,NE,31055,Unknown,22-29,Asian,Democrat,Total,Total,2,0
21,NE,31055,Unknown,22-29,Asian,No Party Affiliation,Total,Total,0,1
21,NE,31055,Unknown,22-29,Asian,Republican,Total,Total,1,0
21,NE,31055,Unknown,22-29,Black,Democrat,Total,Total,4,4
21,NE,31055,Unknown,22-29,Black,No Party Affiliation,Total,Total,1,0
21,NE,31055,Unknown,22-29,Caucasian,Democrat,Total,Total,16,7
21,NE,31055,Unknown,22-29,Caucasian,No Party Affiliation,Total,Total,8,5
21,NE,31055,Unknown,22-29,Caucasian,Other/Unknown,Total,Total,1,1
21,NE,31055,Unknown,22-29,Caucasian,Republican,Total,Total,4,0
21,NE,31055,Unknown,22-29,Hispanic,Democrat,Total,Total,1,2
21,NE,31055,Unknown,22-29,Hispanic,No Party Affiliation,Total,Total,0,1
21,NE,31055,Unknown,30-39,Asian,Democrat,Total,Total,1,2
21,NE,31055,Unknown,30-39,Asian,Other/Unknown,Total,Total,1,0
21,NE,31055,Unknown,30-39,Black,Democrat,Total,Total,2,0
21,NE,31055,Unknown,30-39,Black,No Party Affiliation,Total,Total,1,0
21,NE,31055,Unknown,30-39,Caucasian,Democrat,Total,Total,1,2
21,NE,31055,Unknown,30-39,Caucasian,No Party Affiliation,Total,Total,4,2
21,NE,31055,Unknown,30-39,Caucasian,Republican,Total,Total,1,1
21,NE,31055,Unknown,30-39,Hispanic,Democrat,Total,Total,1,0
21,NE,31055,Unknown,30-39,Other,Democrat,Total,Total,1,0
21,NE,31055,Unknown,40-49,Asian,Democrat,Total,Total,2,0
21,NE,31055,Unknown,40-49,Asian,No Party Affiliation,Total,Total,2,2
21,NE,31055,Unknown,40-49,Black,Democrat,Total,Total,4,2
21,NE,31055,Unknown,40-49,Black,No Party Affiliation,Total,Total,2,0
21,NE,31055,Unknown,40-49,Caucasian,Democrat,Total,Total,2,0
21,NE,31055,Unknown,40-49,Caucasian,No Party Affiliation,Total,Total,0,2
21,NE,31055,Unknown,40-49,Caucasian,Republican,Total,Total,1,0
21,NE,31055,Unknown,40-49,Other,Other/Unknown,Total,Total,1,0
21,NE,31055,Unknown,50-64,Asian,Democrat,Total,Total,1,1
21,NE,31055,Unknown,50-64,Asian,No Party Affiliation,Total,Total,1,0
21,NE,31055,Unknown,50-64,Black,Democrat,Total,Total,1,0
21,NE,31055,Unknown,50-64,Caucasian,Democrat,Total,Total,1,4
21,NE,31055,Unknown,50-64,Caucasian,No Party Affiliation,Total,Total,1,1
21,NE,31055,Unknown,50-64,Hispanic,No Party Affiliation,Total,Total,1,0
21,NE,31055,Unknown,65+,Asian,Republican,Total,Total,1,0
21,NE,31055,Unknown,65+,Caucasian,Democrat,Total,Total,1,0
21,NE,31055,Unknown,Unknown,Black,Other/Unknown,Total,Total,1,0
22,NE,31055,Female,18-21,Asian,Democrat,Total,Total,0,1
22,NE,31055,Female,18-21,Black,Democrat,Total,Total,0,2
22,NE,31055,Female,18-21,Black,No Party Affiliation,Total,Total,0,1
22,NE,31055,Female,18-21,Caucasian,Democrat,Total,Total,0,43
22,NE,31055,Female,18-21,Caucasian,No Party Affiliation,Total,Total,0,10
22,NE,31055,Female,18-21,Caucasian,Republican,Total,Total,0,13
22,NE,31055,Female,18-21,Hispanic,Democrat,Total,Total,0,3
22,NE,31055,Female,22-29,Asian,Democrat,Total,Total,0,3
22,NE,31055,Female,22-29,Asian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Female,22-29,Asian,Other/Unknown,Total,Total,0,1
22,NE,31055,Female,22-29,Black,Democrat,Total,Total,0,15
22,NE,31055,Female,22-29,Black,No Party Affiliation,Total,Total,0,1
22,NE,31055,Female,22-29,Black,Other/Unknown,Total,Total,0,1
22,NE,31055,Female,22-29,Black,Republican,Total,Total,0,1
22,NE,31055,Female,22-29,Caucasian,Democrat,Total,Total,0,82
22,NE,31055,Female,22-29,Caucasian,No Party Affiliation,Total,Total,0,27
22,NE,31055,Female,22-29,Caucasian,Other/Unknown,Total,Total,0,3
22,NE,31055,Female,22-29,Caucasian,Republican,Total,Total,0,25
22,NE,31055,Female,22-29,Hispanic,Democrat,Total,Total,0,5
22,NE,31055,Female,22-29,Hispanic,No Party Affiliation,Total,Total,0,3
22,NE,31055,Female,22-29,Hispanic,Republican,Total,Total,0,1
22,NE,31055,Female,30-39,Asian,Democrat,Total,Total,0,3
22,NE,31055,Female,30-39,Asian,No Party Affiliation,Total,Total,0,2
22,NE,31055,Female,30-39,Black,Democrat,Total,Total,0,20
22,NE,31055,Female,30-39,Black,No Party Affiliation,Total,Total,0,6
22,NE,31055,Female,30-39,Black,Other/Unknown,Total,Total,0,1
22,NE,31055,Female,30-39,Black,Republican,Total,Total,0,1
22,NE,31055,Female,30-39,Caucasian,Democrat,Total,Total,0,174
22,NE,31055,Female,30-39,Caucasian,No Party Affiliation,Total,Total,0,61
22,NE,31055,Female,30-39,Caucasian,Other/Unknown,Total,Total,0,7
22,NE,31055,Female,30-39,Caucasian,Republican,Total,Total,0,52
22,NE,31055,Female,30-39,Hispanic,Democrat,Total,Total,0,7
22,NE,31055,Female,30-39,Hispanic,No Party Affiliation,Total,Total,0,2
22,NE,31055,Female,30-39,Hispanic,Republican,Total,Total,0,2
22,NE,31055,Female,30-39,Other,Democrat,Total,Total,0,2
22,NE,31055,Female,30-39,Other,No Party Affiliation,Total,Total,0,1
22,NE,31055,Female,30-39,Other,Other/Unknown,Total,Total,0,1
22,NE,31055,Female,40-49,Asian,Democrat,Total,Total,0,7
22,NE,31055,Female,40-49,Asian,No Party Affiliation,Total,Total,0,4
22,NE,31055,Female,40-49,Black,Democrat,Total,Total,0,17
22,NE,31055,Female,40-49,Black,No Party Affiliation,Total,Total,0,6
22,NE,31055,Female,40-49,Black,Other/Unknown,Total,Total,0,1
22,NE,31055,Female,40-49,Caucasian,Democrat,Total,Total,0,175
22,NE,31055,Female,40-49,Caucasian,No Party Affiliation,Total,Total,0,70
22,NE,31055,Female,40-49,Caucasian,Other/Unknown,Total,Total,0,4
22,NE,31055,Female,40-49,Caucasian,Republican,Total,Total,0,63
22,NE,31055,Female,40-49,Hispanic,Democrat,Total,Total,0,10
22,NE,31055,Female,40-49,Hispanic,No Party Affiliation,Total,Total,0,3
22,NE,31055,Female,40-49,Hispanic,Republican,Total,Total,0,1
22,NE,31055,Female,40-49,Other,No Party Affiliation,Total,Total,0,1
22,NE,31055,Female,40-49,Other,Republican,Total,Total,0,1
22,NE,31055,Female,50-64,Asian,Democrat,Total,Total,0,1
22,NE,31055,Female,50-64,Asian,No Party Affiliation,Total,Total,0,6
22,NE,31055,Female,50-64,Asian,Other/Unknown,Total,Total,0,2
22,NE,31055,Female,50-64,Asian,Republican,Total,Total,0,1
22,NE,31055,Female,50-64,Black,Democrat,Total,Total,1,42
22,NE,31055,Female,50-64,Black,No Party Affiliation,Total,Total,0,11
22,NE,31055,Female,50-64,Black,Other/Unknown,Total,Total,0,1
22,NE,31055,Female,50-64,Black,Republican,Total,Total,0,12
22,NE,31055,Female,50-64,Caucasian,Democrat,Total,Total,0,293
22,NE,31055,Female,50-64,Caucasian,No Party Affiliation,Total,Total,1,105
22,NE,31055,Female,50-64,Caucasian,Other/Unknown,Total,Total,0,3
22,NE,31055,Female,50-64,Caucasian,Republican,Total,Total,1,208
22,NE,31055,Female,50-64,Hispanic,Democrat,Total,Total,0,15
22,NE,31055,Female,50-64,Hispanic,No Party Affiliation,Total,Total,0,2
22,NE,31055,Female,50-64,Hispanic,Republican,Total,Total,0,5
22,NE,31055,Female,50-64,Other,Democrat,Total,Total,0,1
22,NE,31055,Female,50-64,Other,Republican,Total,Total,0,2
22,NE,31055,Female,65+,Asian,Democrat,Total,Total,0,1
22,NE,31055,Female,65+,Asian,Republican,Total,Total,0,4
22,NE,31055,Female,65+,Black,Democrat,Total,Total,0,24
22,NE,31055,Female,65+,Black,No Party Affiliation,Total,Total,0,4
22,NE,31055,Female,65+,Black,Republican,Total,Total,0,11
22,NE,31055,Female,65+,Caucasian,Democrat,Total,Total,0,314
22,NE,31055,Female,65+,Caucasian,No Party Affiliation,Total,Total,0,96
22,NE,31055,Female,65+,Caucasian,Other/Unknown,Total,Total,0,4
22,NE,31055,Female,65+,Caucasian,Republican,Total,Total,0,314
22,NE,31055,Female,65+,Hispanic,Democrat,Total,Total,0,7
22,NE,31055,Female,65+,Hispanic,No Party Affiliation,Total,Total,0,2
22,NE,31055,Female,65+,Hispanic,Republican,Total,Total,0,3
22,NE,31055,Female,65+,Other,Democrat,Total,Total,0,2
22,NE,31055,Female,65+,Other,Republican,Total,Total,0,1
22,NE,31055,Male,18-21,Black,Democrat,Total,Total,0,7
22,NE,31055,Male,18-21,Black,No Party Affiliation,Total,Total,0,1
22,NE,31055,Male,18-21,Caucasian,Democrat,Total,Total,0,31
22,NE,31055,Male,18-21,Caucasian,No Party Affiliation,Total,Total,0,24
22,NE,31055,Male,18-21,Caucasian,Other/Unknown,Total,Total,0,1
22,NE,31055,Male,18-21,Caucasian,Republican,Total,Total,0,25
22,NE,31055,Male,18-21,Hispanic,Democrat,Total,Total,0,3
22,NE,31055,Male,22-29,Black,Democrat,Total,Total,0,5
22,NE,31055,Male,22-29,Black,No Party Affiliation,Total,Total,0,3
22,NE,31055,Male,22-29,Black,Republican,Total,Total,0,1
22,NE,31055,Male,22-29,Caucasian,Democrat,Total,Total,0,43
22,NE,31055,Male,22-29,Caucasian,No Party Affiliation,Total,Total,0,32
22,NE,31055,Male,22-29,Caucasian,Other/Unknown,Total,Total,0,3
22,NE,31055,Male,22-29,Caucasian,Republican,Total,Total,0,35
22,NE,31055,Male,22-29,Hispanic,Democrat,Total,Total,0,7
22,NE,31055,Male,22-29,Hispanic,No Party Affiliation,Total,Total,0,1
22,NE,31055,Male,22-29,Hispanic,Republican,Total,Total,0,1
22,NE,31055,Male,30-39,Asian,Democrat,Total,Total,0,2
22,NE,31055,Male,30-39,Asian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Male,30-39,Black,Democrat,Total,Total,0,5
22,NE,31055,Male,30-39,Black,No Party Affiliation,Total,Total,0,9
22,NE,31055,Male,30-39,Black,Republican,Total,Total,0,2
22,NE,31055,Male,30-39,Caucasian,Democrat,Total,Total,0,126
22,NE,31055,Male,30-39,Caucasian,No Party Affiliation,Total,Total,0,71
22,NE,31055,Male,30-39,Caucasian,Other/Unknown,Total,Total,0,3
22,NE,31055,Male,30-39,Caucasian,Republican,Total,Total,0,43
22,NE,31055,Male,30-39,Hispanic,Democrat,Total,Total,0,3
22,NE,31055,Male,30-39,Hispanic,No Party Affiliation,Total,Total,0,3
22,NE,31055,Male,30-39,Hispanic,Other/Unknown,Total,Total,0,1
22,NE,31055,Male,30-39,Other,No Party Affiliation,Total,Total,0,1
22,NE,31055,Male,40-49,Asian,Democrat,Total,Total,0,5
22,NE,31055,Male,40-49,Asian,No Party Affiliation,Total,Total,0,6
22,NE,31055,Male,40-49,Asian,Republican,Total,Total,0,2
22,NE,31055,Male,40-49,Black,Democrat,Total,Total,0,10
22,NE,31055,Male,40-49,Black,No Party Affiliation,Total,Total,0,6
22,NE,31055,Male,40-49,Black,Republican,Total,Total,0,4
22,NE,31055,Male,40-49,Caucasian,Democrat,Total,Total,0,115
22,NE,31055,Male,40-49,Caucasian,No Party Affiliation,Total,Total,0,73
22,NE,31055,Male,40-49,Caucasian,Other/Unknown,Total,Total,0,8
22,NE,31055,Male,40-49,Caucasian,Republican,Total,Total,1,64
22,NE,31055,Male,40-49,Hispanic,Democrat,Total,Total,0,5
22,NE,31055,Male,40-49,Hispanic,No Party Affiliation,Total,Total,0,2
22,NE,31055,Male,40-49,Hispanic,Republican,Total,Total,0,3
22,NE,31055,Male,40-49,Other,No Party Affiliation,Total,Total,0,1
22,NE,31055,Male,50-64,Asian,Democrat,Total,Total,0,3
22,NE,31055,Male,50-64,Asian,No Party Affiliation,Total,Total,0,3
22,NE,31055,Male,50-64,Black,Democrat,Total,Total,0,29
22,NE,31055,Male,50-64,Black,No Party Affiliation,Total,Total,0,11
22,NE,31055,Male,50-64,Black,Republican,Total,Total,0,8
22,NE,31055,Male,50-64,Caucasian,Democrat,Total,Total,1,204
22,NE,31055,Male,50-64,Caucasian,No Party Affiliation,Total,Total,0,113
22,NE,31055,Male,50-64,Caucasian,Other/Unknown,Total,Total,0,5
22,NE,31055,Male,50-64,Caucasian,Republican,Total,Total,0,219
22,NE,31055,Male,50-64,Hispanic,Democrat,Total,Total,0,5
22,NE,31055,Male,50-64,Hispanic,No Party Affiliation,Total,Total,0,3
22,NE,31055,Male,50-64,Hispanic,Republican,Total,Total,0,4
22,NE,31055,Male,50-64,Other,Democrat,Total,Total,0,3
22,NE,31055,Male,65+,Asian,Democrat,Total,Total,0,3
22,NE,31055,Male,65+,Asian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Male,65+,Asian,Republican,Total,Total,0,2
22,NE,31055,Male,65+,Black,Democrat,Total,Total,0,19
22,NE,31055,Male,65+,Black,No Party Affiliation,Total,Total,0,6
22,NE,31055,Male,65+,Black,Republican,Total,Total,0,10
22,NE,31055,Male,65+,Caucasian,Democrat,Total,Total,0,179
22,NE,31055,Male,65+,Caucasian,No Party Affiliation,Total,Total,0,90
22,NE,31055,Male,65+,Caucasian,Other/Unknown,Total,Total,0,3
22,NE,31055,Male,65+,Caucasian,Republican,Total,Total,0,253
22,NE,31055,Male,65+,Hispanic,Democrat,Total,Total,0,4
22,NE,31055,Male,65+,Hispanic,No Party Affiliation,Total,Total,0,2
22,NE,31055,Male,65+,Hispanic,Republican,Total,Total,0,2
22,NE,31055,Male,65+,Other,Republican,Total,Total,0,3
22,NE,31055,Male,Unknown,Caucasian,Other/Unknown,Total,Total,0,1
22,NE,31055,Unknown,18-21,Asian,Democrat,Total,Total,0,1
22,NE,31055,Unknown,18-21,Asian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Unknown,18-21,Caucasian,Democrat,Total,Total,0,3
22,NE,31055,Unknown,18-21,Caucasian,No Party Affiliation,Total,Total,0,3
22,NE,31055,Unknown,18-21,Caucasian,Republican,Total,Total,0,1
22,NE,31055,Unknown,18-21,Hispanic,Democrat,Total,Total,0,1
22,NE,31055,Unknown,18-21,Other,No Party Affiliation,Total,Total,0,1
22,NE,31055,Unknown,22-29,Asian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Unknown,22-29,Black,Democrat,Total,Total,0,1
22,NE,31055,Unknown,22-29,Caucasian,Democrat,Total,Total,1,3
22,NE,31055,Unknown,22-29,Caucasian,Republican,Total,Total,0,1
22,NE,31055,Unknown,22-29,Hispanic,Democrat,Total,Total,0,1
22,NE,31055,Unknown,30-39,Caucasian,Democrat,Total,Total,0,2
22,NE,31055,Unknown,30-39,Hispanic,Democrat,Total,Total,0,1
22,NE,31055,Unknown,30-39,Hispanic,No Party Affiliation,Total,Total,0,1
22,NE,31055,Unknown,40-49,Asian,Democrat,Total,Total,0,2
22,NE,31055,Unknown,40-49,Asian,No Party Affiliation,Total,Total,0,2
22,NE,31055,Unknown,40-49,Caucasian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Unknown,50-64,Asian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Unknown,50-64,Caucasian,Democrat,Total,Total,0,1
22,NE,31055,Unknown,50-64,Caucasian,No Party Affiliation,Total,Total,0,1
22,NE,31055,Unknown,65+,Black,Republican,Total,Total,0,1
23,NE,31055,Female,18-21,Asian,Democrat,Total,Total,0,1
23,NE,31055,Female,18-21,Black,Democrat,Total,Total,0,3
23,NE,31055,Female,18-21,Black,No Party Affiliation,Total,Total,0,1
23,NE,31055,Female,18-21,Caucasian,Democrat,Total,Total,0,33
23,NE,31055,Female,18-21,Caucasian,No Party Affiliation,Total,Total,0,4
23,NE,31055,Female,18-21,Caucasian,Other/Unknown,Total,Total,0,1
23,NE,31055,Female,18-21,Caucasian,Republican,Total,Total,0,8
23,NE,31055,Female,18-21,Hispanic,Other/Unknown,Total,Total,0,1
23,NE,31055,Female,22-29,Asian,Democrat,Total,Total,0,1
23,NE,31055,Female,22-29,Asian,No Party Affiliation,Total,Total,0,1
23,NE,31055,Female,22-29,Asian,Republican,Total,Total,0,1
23,NE,31055,Female,22-29,Black,Democrat,Total,Total,0,6
23,NE,31055,Female,22-29,Black,No Party Affiliation,Total,Total,0,1
23,NE,31055,Female,22-29,Black,Republican,Total,Total,0,3
23,NE,31055,Female,22-29,Caucasian,Democrat,Total,Total,0,73
23,NE,31055,Female,22-29,Caucasian,No Party Affiliation,Total,Total,0,17
23,NE,31055,Female,22-29,Caucasian,Republican,Total,Total,0,15
23,NE,31055,Female,22-29,Hispanic,Democrat,Total,Total,0,4
23,NE,31055,Female,22-29,Hispanic,No Party Affiliation,Total,Total,0,4
23,NE,31055,Female,30-39,Asian,Democrat,Total,Total,0,3
23,NE,31055,Female,30-39,Asian,No Party Affiliation,Total,Total,0,1
23,NE,31055,Female,30-39,Black,Democrat,Total,Total,0,10
23,NE,31055,Female,30-39,Black,No Party Affiliation,Total,Total,0,4
23,NE,31055,Female,30-39,Black,Other/Unknown,Total,Total,0,2
23,NE,31055,Female,30-39,Caucasian,Democrat,Total,Total,0,134
23,NE,31055,Female,30-39,Caucasian,No Party Affiliation,Total,Total,0,39
